All 1599 models by parameter count:
eva02_enormous_patch14_clip_224.laion2b            | Total: 4350.6M | Trainable: 4350.6M
TRAINED eva02_enormous_patch14_clip_224.laion2b_plus       | Total: 4350.6M | Trainable: 4350.6M
aimv2_3b_patch14_448.apple_pt                      | Total: 2723.0M | Trainable: 2723.0M
aimv2_3b_patch14_336.apple_pt                      | Total: 2721.6M | Trainable: 2721.6M
TRAINED aimv2_3b_patch14_224.apple_pt                      | Total: 2720.7M | Trainable: 2720.7M
vit_gigantic_patch14_clip_224.laion2b              | Total: 1844.9M | Trainable: 1844.9M
vit_gigantic_patch14_clip_224.metaclip_2pt5b       | Total: 1844.9M | Trainable: 1844.9M
TRAINED vit_gigantic_patch14_clip_quickgelu_224.metaclip_2pt5b | Total: 1844.9M | Trainable: 1844.9M
regnety_2560.seer_ft_in1k                          | Total: 1282.6M | Trainable: 1282.6M
aimv2_1b_patch14_448.apple_pt                      | Total: 1236.5M | Trainable: 1236.5M
aimv2_1b_patch14_336.apple_pt                      | Total: 1235.6M | Trainable: 1235.6M
TRAINED aimv2_1b_patch14_224.apple_pt                      | Total: 1235.0M | Trainable: 1235.0M
vit_giantopt_patch16_siglip_384.v2_webli           | Total: 1163.7M | Trainable: 1163.7M
vit_giantopt_patch16_siglip_256.v2_webli           | Total: 1163.2M | Trainable: 1163.2M
vit_giant_patch14_reg4_dinov2.lvd142m              | Total: 1136.5M | Trainable: 1136.5M
vit_giant_patch14_dinov2.lvd142m                   | Total: 1136.5M | Trainable: 1136.5M
vit_giantopt_patch16_siglip_gap_384.v2_webli       | Total: 1135.3M | Trainable: 1135.3M
vit_giantopt_patch16_siglip_gap_256.v2_webli       | Total: 1134.8M | Trainable: 1134.8M
resnetv2_152x4_bit.goog_in21k                      | Total: 1107.3M | Trainable: 1107.3M
eva_giant_patch14_560.m30m_ft_in22k_in1k           | Total: 1014.4M | Trainable: 1014.4M
eva_giant_patch14_336.clip_ft_in1k                 | Total: 1013.0M | Trainable: 1013.0M
eva_giant_patch14_336.m30m_ft_in22k_in1k           | Total: 1013.0M | Trainable: 1013.0M
vit_giant_patch14_clip_224.laion2b                 | Total: 1012.6M | Trainable: 1012.6M
eva_giant_patch14_clip_224.laion400m               | Total: 1012.6M | Trainable: 1012.6M
eva_giant_patch14_clip_224.merged2b                | Total: 1012.6M | Trainable: 1012.6M
eva_giant_patch14_224.clip_ft_in1k                 | Total: 1012.6M | Trainable: 1012.6M
vit_giant_patch16_gap_224.in22k_ijepa              | Total: 1011.4M | Trainable: 1011.4M
resnetv2_152x4_bit.goog_in21k_ft_in1k              | Total: 936.5M | Trainable: 936.5M
convnext_xxlarge.clip_laion2b_soup_ft_in12k        | Total: 879.7M | Trainable: 879.7M
convnext_xxlarge.clip_laion2b_rewind               | Total: 846.5M | Trainable: 846.5M
convnext_xxlarge.clip_laion2b_soup                 | Total: 846.5M | Trainable: 846.5M
